"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
1,10,10,0.01,-3.49573227355399,"log",100,138.871606457481,0.748631786956712,137.97024962616,0.989473684210526,0.126315789473684,0.100503781525921,0.0304800847241608
2,26,10,0.01,-3.49573227355399,"log",100,4.60369403246459,0.208968716003767,4.6013250164082,0.96,0.27,0.100503781525921,0.0304800847241608
3,76,10,0.01,-3.49573227355399,"log",100,0.134137637922971,-0.0180190969960442,0.133120949400294,0.97,0.41,0.100503781525921,0.0304800847241608
4,100,10,0.01,-3.49573227355399,"log",100,0.0958318592729156,0.0122023340942539,0.0950224376375343,0.94,0.46,0.100503781525921,0.0304800847241608
5,10,20,0.01,-3.49573227355399,"log",100,31.7929246693725,1.1518996508059,32.7986568216733,0.98989898989899,0.272727272727273,0.100503781525921,0.0304800847241608
6,26,20,0.01,-3.49573227355399,"log",100,0.257781856305926,0.00537105845388173,0.255232886011782,0.98,0.34,0.100503781525921,0.0304800847241608
7,76,20,0.01,-3.49573227355399,"log",100,0.0862104501967342,0.00619299699162376,0.0853866989065051,0.94,0.36,0.100503781525921,0.0304800847241608
8,100,20,0.01,-3.49573227355399,"log",100,0.048025672302132,0.002860492548065,0.0475535979967283,0.98,0.4,0.100503781525921,0.0304800847241608
9,10,50,0.01,-3.49573227355399,"log",100,0.222231590563568,0.0314060402521713,0.220995614022253,0.97,0.23,0.100503781525921,0.0304800847241608
10,26,50,0.01,-3.49573227355399,"log",100,0.100969970355387,0.0128393150672846,0.10012511866323,0.91,0.42,0.100503781525921,0.0304800847241608
11,76,50,0.01,-3.49573227355399,"log",100,0.0301134773027518,-0.0260493560006074,0.0304909114777707,0.97,0.44,0.100503781525921,0.0304800847241608
12,100,50,0.01,-3.49573227355399,"log",100,0.0235890883424231,-0.014322601133216,0.02355833436222,0.96,0.56,0.100503781525921,0.0304800847241608
13,10,100,0.01,-3.49573227355399,"log",100,0.143772372331674,0.0515536855266821,0.144992431099742,0.93,0.36,0.100503781525921,0.0304800847241608
14,26,100,0.01,-3.49573227355399,"log",100,0.0354224993177133,0.0114811070892605,0.0352000901445312,0.96,0.4,0.100503781525921,0.0304800847241608
15,76,100,0.01,-3.49573227355399,"log",100,0.0160279739115491,-0.00349169300825801,0.0158798860924975,0.92,0.57,0.100503781525921,0.0304800847241608
16,100,100,0.01,-3.49573227355399,"log",100,0.00849034013123301,0.0103053582287156,0.00851163713814283,0.97,0.57,0.100503781525921,0.0304800847241608
17,10,500,0.01,-3.49573227355399,"log",100,0.0263254117538111,-0.00812284299809362,0.0261281382146446,0.93,0.43,0.100503781525921,0.0304800847241608
18,26,500,0.01,-3.49573227355399,"log",100,0.00935891732360652,-0.00347821572154299,0.00927742613497605,0.94,0.65,0.100503781525921,0.0304800847241608
19,76,500,0.01,-3.49573227355399,"log",100,0.0028491293500408,0.000149967861175263,0.00282066054689977,0.98,0.78,0.100503781525921,0.0304800847241608
20,100,500,0.01,-3.49573227355399,"log",100,0.00228878296848507,-0.00642588618054229,0.00230718715200551,0.94,0.88,0.100503781525921,0.0304800847241608
21,10,10,0.05,-3.49573227355399,"log",100,105.692567478006,1.86699445775773,108.029403528109,0.956521739130435,0.130434782608696,0.229415733870562,0.0311351932423875
22,26,10,0.05,-3.49573227355399,"log",100,3.97585035673412,0.322690003854871,4.0398190907085,0.95959595959596,0.343434343434343,0.229415733870562,0.0311351932423875
23,76,10,0.05,-3.49573227355399,"log",100,0.20047075402513,-0.021908154548508,0.1989460137206,0.93,0.42,0.229415733870562,0.0311351932423875
24,100,10,0.05,-3.49573227355399,"log",100,0.167546428574154,-0.0207004770523628,0.166299474038608,0.86,0.43,0.229415733870562,0.0311351932423875
25,10,20,0.05,-3.49573227355399,"log",100,31.1072016413424,0.8165080933165,31.4628150913803,0.98,0.21,0.229415733870562,0.0311351932423875
26,26,20,0.05,-3.49573227355399,"log",100,0.271863825355151,0.0475988502092591,0.271410837642843,0.93,0.42,0.229415733870562,0.0311351932423875
27,76,20,0.05,-3.49573227355399,"log",100,0.0706744758846599,0.0190945968147059,0.0703323347533294,0.98,0.46,0.229415733870562,0.0311351932423875
28,100,20,0.05,-3.49573227355399,"log",100,0.0609732277150405,0.0170681231528655,0.0606548162658515,0.95,0.55,0.229415733870562,0.0311351932423875
29,10,50,0.05,-3.49573227355399,"log",100,0.253208796517381,0.0125218834245345,0.250833506116704,0.95,0.26,0.229415733870562,0.0311351932423875
30,26,50,0.05,-3.49573227355399,"log",100,0.0949247414493226,0.046752209317026,0.0961612631108524,0.95,0.48,0.229415733870562,0.0311351932423875
31,76,50,0.05,-3.49573227355399,"log",100,0.0255206106172748,0.0204502503615235,0.0256836172509511,0.94,0.6,0.229415733870562,0.0311351932423875
32,100,50,0.05,-3.49573227355399,"log",100,0.0198439069567353,0.0344312194628278,0.0208309767608654,0.93,0.69,0.229415733870562,0.0311351932423875
33,10,100,0.05,-3.49573227355399,"log",100,0.132258567559641,-0.00041890843569489,0.130936157368322,0.91,0.36,0.229415733870562,0.0311351932423875
34,26,100,0.05,-3.49573227355399,"log",100,0.0459302860658725,0.0453191137497777,0.0475248052762791,0.96,0.71,0.229415733870562,0.0311351932423875
35,76,100,0.05,-3.49573227355399,"log",100,0.0165381497513826,0.0113353940276325,0.0165012594116305,0.96,0.89,0.229415733870562,0.0311351932423875
